model,method,bench,case,category,measure,phase,value
gpt2-xl,memit,counterfact,0,efficacy,success,pre,0.0
gpt2-xl,memit,counterfact,0,efficacy,diff,pre,-0.37617651698075644
gpt2-xl,memit,counterfact,0,efficacy,acc,pre,0.0
gpt2-xl,memit,counterfact,0,generalisation,success,pre,1.0
gpt2-xl,memit,counterfact,0,generalisation,diff,pre,0.0005171306729141865
gpt2-xl,memit,counterfact,0,generalisation,acc,pre,0.0
gpt2-xl,memit,counterfact,0,specificity,success,pre,0.0
gpt2-xl,memit,counterfact,0,specificity,diff,pre,-0.3224642760423937
gpt2-xl,memit,counterfact,0,specificity,acc,pre,0.7
gpt2-xl,memit,counterfact,0,target_close_neighbour,success,pre,1.0
gpt2-xl,memit,counterfact,0,target_close_neighbour,diff,pre,0.07185565722335695
gpt2-xl,memit,counterfact,0,target_close_neighbour,acc,pre,0.4
gpt2-xl,memit,counterfact,0,efficacy,success,post,1.0
gpt2-xl,memit,counterfact,0,efficacy,diff,post,0.993538149759369
gpt2-xl,memit,counterfact,0,efficacy,acc,post,1.0
gpt2-xl,memit,counterfact,0,generalisation,success,post,1.0
gpt2-xl,memit,counterfact,0,generalisation,diff,post,0.008585045954116832
gpt2-xl,memit,counterfact,0,generalisation,acc,post,0.0
gpt2-xl,memit,counterfact,0,specificity,success,post,0.0
gpt2-xl,memit,counterfact,0,specificity,diff,post,-0.3244653434925393
gpt2-xl,memit,counterfact,0,specificity,acc,post,0.7
gpt2-xl,memit,counterfact,0,target_close_neighbour,success,post,1.0
gpt2-xl,memit,counterfact,0,target_close_neighbour,diff,post,0.07596584204944476
gpt2-xl,memit,counterfact,0,target_close_neighbour,acc,post,0.4
gpt2-xl,memit,counterfact,1,efficacy,success,pre,0.0
gpt2-xl,memit,counterfact,1,efficacy,diff,pre,-0.10433664415338888
gpt2-xl,memit,counterfact,1,efficacy,acc,pre,0.0
gpt2-xl,memit,counterfact,1,generalisation,success,pre,0.0
gpt2-xl,memit,counterfact,1,generalisation,diff,pre,-0.0010584796715423853
gpt2-xl,memit,counterfact,1,generalisation,acc,pre,0.0
gpt2-xl,memit,counterfact,1,specificity,success,pre,0.7
gpt2-xl,memit,counterfact,1,specificity,diff,pre,0.025185032982237548
gpt2-xl,memit,counterfact,1,specificity,acc,pre,0.1
gpt2-xl,memit,counterfact,1,target_close_neighbour,success,pre,1.0
gpt2-xl,memit,counterfact,1,target_close_neighbour,diff,pre,0.11009343599061741
gpt2-xl,memit,counterfact,1,target_close_neighbour,acc,pre,0.3
gpt2-xl,memit,counterfact,1,efficacy,success,post,1.0
gpt2-xl,memit,counterfact,1,efficacy,diff,post,0.9836621372626636
gpt2-xl,memit,counterfact,1,efficacy,acc,post,1.0
gpt2-xl,memit,counterfact,1,generalisation,success,post,1.0
gpt2-xl,memit,counterfact,1,generalisation,diff,post,0.03234545982136788
gpt2-xl,memit,counterfact,1,generalisation,acc,post,0.0
gpt2-xl,memit,counterfact,1,specificity,success,post,0.7
gpt2-xl,memit,counterfact,1,specificity,diff,post,0.03236711744307012
gpt2-xl,memit,counterfact,1,specificity,acc,post,0.1
gpt2-xl,memit,counterfact,1,target_close_neighbour,success,post,1.0
gpt2-xl,memit,counterfact,1,target_close_neighbour,diff,post,0.1148903701949628
gpt2-xl,memit,counterfact,1,target_close_neighbour,acc,post,0.2
gpt2-xl,memit,counterfact,2,efficacy,success,pre,1.0
gpt2-xl,memit,counterfact,2,efficacy,diff,pre,2.8234194909068148e-05
gpt2-xl,memit,counterfact,2,efficacy,acc,pre,0.0
gpt2-xl,memit,counterfact,2,generalisation,success,pre,0.5
gpt2-xl,memit,counterfact,2,generalisation,diff,pre,0.013870785335809153
gpt2-xl,memit,counterfact,2,generalisation,acc,pre,0.0
gpt2-xl,memit,counterfact,2,specificity,success,pre,0.6
gpt2-xl,memit,counterfact,2,specificity,diff,pre,-0.0022553692823553133
gpt2-xl,memit,counterfact,2,specificity,acc,pre,0.0
gpt2-xl,memit,counterfact,2,target_close_neighbour,success,pre,0.7
gpt2-xl,memit,counterfact,2,target_close_neighbour,diff,pre,0.006844458774199277
gpt2-xl,memit,counterfact,2,target_close_neighbour,acc,pre,0.0
gpt2-xl,memit,counterfact,2,efficacy,success,post,1.0
gpt2-xl,memit,counterfact,2,efficacy,diff,post,0.8201335560076544
gpt2-xl,memit,counterfact,2,efficacy,acc,post,1.0
gpt2-xl,memit,counterfact,2,generalisation,success,post,1.0
gpt2-xl,memit,counterfact,2,generalisation,diff,post,0.3443916595266168
gpt2-xl,memit,counterfact,2,generalisation,acc,post,0.5
gpt2-xl,memit,counterfact,2,specificity,success,post,0.7
gpt2-xl,memit,counterfact,2,specificity,diff,post,-0.0013743335223287058
gpt2-xl,memit,counterfact,2,specificity,acc,post,0.0
gpt2-xl,memit,counterfact,2,target_close_neighbour,success,post,0.7
gpt2-xl,memit,counterfact,2,target_close_neighbour,diff,post,0.008040275482485258
gpt2-xl,memit,counterfact,2,target_close_neighbour,acc,post,0.0
gpt2-xl,memit,counterfact,3,efficacy,success,pre,0.0
gpt2-xl,memit,counterfact,3,efficacy,diff,pre,-0.08874552929428017
gpt2-xl,memit,counterfact,3,efficacy,acc,pre,0.0
gpt2-xl,memit,counterfact,3,generalisation,success,pre,0.0
gpt2-xl,memit,counterfact,3,generalisation,diff,pre,-0.10788922980313234
gpt2-xl,memit,counterfact,3,generalisation,acc,pre,0.0
gpt2-xl,memit,counterfact,3,specificity,success,pre,0.0
gpt2-xl,memit,counterfact,3,specificity,diff,pre,-0.01927880385219243
gpt2-xl,memit,counterfact,3,specificity,acc,pre,0.0
gpt2-xl,memit,counterfact,3,target_close_neighbour,success,pre,1.0
gpt2-xl,memit,counterfact,3,target_close_neighbour,diff,pre,0.09144004526728411
gpt2-xl,memit,counterfact,3,target_close_neighbour,acc,pre,0.1
gpt2-xl,memit,counterfact,3,efficacy,success,post,1.0
gpt2-xl,memit,counterfact,3,efficacy,diff,post,0.9517709925258688
gpt2-xl,memit,counterfact,3,efficacy,acc,post,1.0
gpt2-xl,memit,counterfact,3,generalisation,success,post,1.0
gpt2-xl,memit,counterfact,3,generalisation,diff,post,0.9248195199875688
gpt2-xl,memit,counterfact,3,generalisation,acc,post,1.0
gpt2-xl,memit,counterfact,3,specificity,success,post,0.0
gpt2-xl,memit,counterfact,3,specificity,diff,post,-0.0215564722760389
gpt2-xl,memit,counterfact,3,specificity,acc,post,0.0
gpt2-xl,memit,counterfact,3,target_close_neighbour,success,post,1.0
gpt2-xl,memit,counterfact,3,target_close_neighbour,diff,post,0.10657982319071244
gpt2-xl,memit,counterfact,3,target_close_neighbour,acc,post,0.2
gpt2-xl,memit,counterfact,4,efficacy,success,pre,0.0
gpt2-xl,memit,counterfact,4,efficacy,diff,pre,-2.046038752108024e-06
gpt2-xl,memit,counterfact,4,efficacy,acc,pre,0.0
gpt2-xl,memit,counterfact,4,generalisation,success,pre,0.0
gpt2-xl,memit,counterfact,4,generalisation,diff,pre,-5.229205851170455e-06
gpt2-xl,memit,counterfact,4,generalisation,acc,pre,0.0
gpt2-xl,memit,counterfact,4,specificity,success,pre,0.4
gpt2-xl,memit,counterfact,4,specificity,diff,pre,-8.363290483892825e-05
gpt2-xl,memit,counterfact,4,specificity,acc,pre,0.0
gpt2-xl,memit,counterfact,4,target_close_neighbour,success,pre,1.0
gpt2-xl,memit,counterfact,4,target_close_neighbour,diff,pre,0.0013901259861620226
gpt2-xl,memit,counterfact,4,target_close_neighbour,acc,pre,0.0
gpt2-xl,memit,counterfact,4,efficacy,success,post,1.0
gpt2-xl,memit,counterfact,4,efficacy,diff,post,0.0001929220038559967
gpt2-xl,memit,counterfact,4,efficacy,acc,post,0.0
gpt2-xl,memit,counterfact,4,generalisation,success,post,0.5
gpt2-xl,memit,counterfact,4,generalisation,diff,post,8.414244286046608e-06
gpt2-xl,memit,counterfact,4,generalisation,acc,post,0.0
gpt2-xl,memit,counterfact,4,specificity,success,post,0.5
gpt2-xl,memit,counterfact,4,specificity,diff,post,-9.733467706588133e-05
gpt2-xl,memit,counterfact,4,specificity,acc,post,0.0
gpt2-xl,memit,counterfact,4,target_close_neighbour,success,post,1.0
gpt2-xl,memit,counterfact,4,target_close_neighbour,diff,post,0.0019914755878604313
gpt2-xl,memit,counterfact,4,target_close_neighbour,acc,post,0.0
gpt2-xl,memit,counterfact,5,efficacy,success,pre,0.0
gpt2-xl,memit,counterfact,5,efficacy,diff,pre,-0.06645658194091092
gpt2-xl,memit,counterfact,5,efficacy,acc,pre,0.0
gpt2-xl,memit,counterfact,5,generalisation,success,pre,0.5
gpt2-xl,memit,counterfact,5,generalisation,diff,pre,-0.000413328835335311
gpt2-xl,memit,counterfact,5,generalisation,acc,pre,0.0
