model,method,bench,case,category,measure,phase,value
llama3-8b,anyedit,counterfact,0,efficacy,success,pre,0.0
llama3-8b,anyedit,counterfact,0,efficacy,diff,pre,-0.554447759264991
llama3-8b,anyedit,counterfact,0,efficacy,acc,pre,0.0
llama3-8b,anyedit,counterfact,0,generalisation,success,pre,0.0
llama3-8b,anyedit,counterfact,0,generalisation,diff,pre,-0.017276258042719
llama3-8b,anyedit,counterfact,0,generalisation,acc,pre,0.0
llama3-8b,anyedit,counterfact,0,specificity,success,pre,0.0
llama3-8b,anyedit,counterfact,0,specificity,diff,pre,-0.3691831430535373
llama3-8b,anyedit,counterfact,0,specificity,acc,pre,0.5
llama3-8b,anyedit,counterfact,0,target_close_neighbour,success,pre,1.0
llama3-8b,anyedit,counterfact,0,target_close_neighbour,diff,pre,0.13501298562453548
llama3-8b,anyedit,counterfact,0,target_close_neighbour,acc,pre,0.4
llama3-8b,anyedit,counterfact,0,efficacy,success,post,1.0
llama3-8b,anyedit,counterfact,0,efficacy,diff,post,0.24108338810764393
llama3-8b,anyedit,counterfact,0,efficacy,acc,post,1.0
llama3-8b,anyedit,counterfact,0,generalisation,success,post,0.0
llama3-8b,anyedit,counterfact,0,generalisation,diff,post,-0.027303254553600748
llama3-8b,anyedit,counterfact,0,generalisation,acc,post,0.0
llama3-8b,anyedit,counterfact,0,specificity,success,post,0.3
llama3-8b,anyedit,counterfact,0,specificity,diff,post,-0.09830863099863936
llama3-8b,anyedit,counterfact,0,specificity,acc,post,0.4
llama3-8b,anyedit,counterfact,0,target_close_neighbour,success,post,1.0
llama3-8b,anyedit,counterfact,0,target_close_neighbour,diff,post,0.24274455504805775
llama3-8b,anyedit,counterfact,0,target_close_neighbour,acc,post,0.4
llama3-8b,anyedit,counterfact,1,efficacy,success,pre,0.0
llama3-8b,anyedit,counterfact,1,efficacy,diff,pre,-0.15195808065583227
llama3-8b,anyedit,counterfact,1,efficacy,acc,pre,0.0
llama3-8b,anyedit,counterfact,1,generalisation,success,pre,0.0
llama3-8b,anyedit,counterfact,1,generalisation,diff,pre,-0.03057342970014454
llama3-8b,anyedit,counterfact,1,generalisation,acc,pre,0.0
llama3-8b,anyedit,counterfact,1,specificity,success,pre,0.4
llama3-8b,anyedit,counterfact,1,specificity,diff,pre,-0.007853033098426339
llama3-8b,anyedit,counterfact,1,specificity,acc,pre,0.0
llama3-8b,anyedit,counterfact,1,target_close_neighbour,success,pre,1.0
llama3-8b,anyedit,counterfact,1,target_close_neighbour,diff,pre,0.12185462705339314
llama3-8b,anyedit,counterfact,1,target_close_neighbour,acc,pre,0.2
llama3-8b,anyedit,counterfact,1,efficacy,success,post,0.0
llama3-8b,anyedit,counterfact,1,efficacy,diff,post,-1.5474220717942395e-07
llama3-8b,anyedit,counterfact,1,efficacy,acc,post,0.0
llama3-8b,anyedit,counterfact,1,generalisation,success,post,0.0
llama3-8b,anyedit,counterfact,1,generalisation,diff,post,-0.016701648099382203
llama3-8b,anyedit,counterfact,1,generalisation,acc,post,0.0
llama3-8b,anyedit,counterfact,1,specificity,success,post,0.4
llama3-8b,anyedit,counterfact,1,specificity,diff,post,-0.0011101014952995007
llama3-8b,anyedit,counterfact,1,specificity,acc,post,0.0
llama3-8b,anyedit,counterfact,1,target_close_neighbour,success,post,1.0
llama3-8b,anyedit,counterfact,1,target_close_neighbour,diff,post,0.03409252021523196
llama3-8b,anyedit,counterfact,1,target_close_neighbour,acc,post,0.0
llama3-8b,anyedit,counterfact,2,efficacy,success,pre,1.0
llama3-8b,anyedit,counterfact,2,efficacy,diff,pre,2.1259822173694097e-05
llama3-8b,anyedit,counterfact,2,efficacy,acc,pre,0.0
llama3-8b,anyedit,counterfact,2,generalisation,success,pre,1.0
llama3-8b,anyedit,counterfact,2,generalisation,diff,pre,0.041588110685158136
llama3-8b,anyedit,counterfact,2,generalisation,acc,pre,0.5
llama3-8b,anyedit,counterfact,2,specificity,success,pre,0.6
llama3-8b,anyedit,counterfact,2,specificity,diff,pre,-0.016179983789135374
llama3-8b,anyedit,counterfact,2,specificity,acc,pre,0.2
llama3-8b,anyedit,counterfact,2,target_close_neighbour,success,pre,1.0
llama3-8b,anyedit,counterfact,2,target_close_neighbour,diff,pre,0.11117857836485087
llama3-8b,anyedit,counterfact,2,target_close_neighbour,acc,pre,0.6
llama3-8b,anyedit,counterfact,2,efficacy,success,post,1.0
llama3-8b,anyedit,counterfact,2,efficacy,diff,post,1.4398226697710983e-06
llama3-8b,anyedit,counterfact,2,efficacy,acc,post,0.0
llama3-8b,anyedit,counterfact,2,generalisation,success,post,1.0
llama3-8b,anyedit,counterfact,2,generalisation,diff,post,0.041665681198361566
llama3-8b,anyedit,counterfact,2,generalisation,acc,post,0.5
llama3-8b,anyedit,counterfact,2,specificity,success,post,0.6
llama3-8b,anyedit,counterfact,2,specificity,diff,post,-0.013805044743050216
llama3-8b,anyedit,counterfact,2,specificity,acc,post,0.2
llama3-8b,anyedit,counterfact,2,target_close_neighbour,success,post,1.0
llama3-8b,anyedit,counterfact,2,target_close_neighbour,diff,post,0.12033507662656015
llama3-8b,anyedit,counterfact,2,target_close_neighbour,acc,post,0.6
