model,method,bench,case,category,measure,phase,value
gpt2-xl,anyedit,counterfact,0,efficacy,success,pre,0.0
gpt2-xl,anyedit,counterfact,0,efficacy,diff,pre,-0.37617651698075644
gpt2-xl,anyedit,counterfact,0,efficacy,acc,pre,0.0
gpt2-xl,anyedit,counterfact,0,generalisation,success,pre,1.0
gpt2-xl,anyedit,counterfact,0,generalisation,diff,pre,0.0005171306729141865
gpt2-xl,anyedit,counterfact,0,generalisation,acc,pre,0.0
gpt2-xl,anyedit,counterfact,0,specificity,success,pre,0.0
gpt2-xl,anyedit,counterfact,0,specificity,diff,pre,-0.3224642760423937
gpt2-xl,anyedit,counterfact,0,specificity,acc,pre,0.7
gpt2-xl,anyedit,counterfact,0,target_close_neighbour,success,pre,1.0
gpt2-xl,anyedit,counterfact,0,target_close_neighbour,diff,pre,0.07185565722335695
gpt2-xl,anyedit,counterfact,0,target_close_neighbour,acc,pre,0.4
gpt2-xl,anyedit,counterfact,0,efficacy,success,post,1.0
gpt2-xl,anyedit,counterfact,0,efficacy,diff,post,0.9063423891654099
gpt2-xl,anyedit,counterfact,0,efficacy,acc,post,1.0
gpt2-xl,anyedit,counterfact,0,generalisation,success,post,1.0
gpt2-xl,anyedit,counterfact,0,generalisation,diff,post,0.0012333586305641546
gpt2-xl,anyedit,counterfact,0,generalisation,acc,post,0.0
gpt2-xl,anyedit,counterfact,0,specificity,success,post,0.2
gpt2-xl,anyedit,counterfact,0,specificity,diff,post,-0.14894019726443297
gpt2-xl,anyedit,counterfact,0,specificity,acc,post,0.5
gpt2-xl,anyedit,counterfact,0,target_close_neighbour,success,post,1.0
gpt2-xl,anyedit,counterfact,0,target_close_neighbour,diff,post,0.21343831322037854
gpt2-xl,anyedit,counterfact,0,target_close_neighbour,acc,post,0.4
gpt2-xl,anyedit,counterfact,1,efficacy,success,pre,0.0
gpt2-xl,anyedit,counterfact,1,efficacy,diff,pre,-0.10433664415338888
gpt2-xl,anyedit,counterfact,1,efficacy,acc,pre,0.0
gpt2-xl,anyedit,counterfact,1,generalisation,success,pre,0.0
gpt2-xl,anyedit,counterfact,1,generalisation,diff,pre,-0.0010584796715423853
gpt2-xl,anyedit,counterfact,1,generalisation,acc,pre,0.0
gpt2-xl,anyedit,counterfact,1,specificity,success,pre,0.7
gpt2-xl,anyedit,counterfact,1,specificity,diff,pre,0.025185032982237548
gpt2-xl,anyedit,counterfact,1,specificity,acc,pre,0.1
gpt2-xl,anyedit,counterfact,1,target_close_neighbour,success,pre,1.0
gpt2-xl,anyedit,counterfact,1,target_close_neighbour,diff,pre,0.11009343599061741
gpt2-xl,anyedit,counterfact,1,target_close_neighbour,acc,pre,0.3
gpt2-xl,anyedit,counterfact,1,efficacy,success,post,1.0
gpt2-xl,anyedit,counterfact,1,efficacy,diff,post,0.9738283966471458
gpt2-xl,anyedit,counterfact,1,efficacy,acc,post,1.0
gpt2-xl,anyedit,counterfact,1,generalisation,success,post,0.0
gpt2-xl,anyedit,counterfact,1,generalisation,diff,post,-0.001200125383393001
gpt2-xl,anyedit,counterfact,1,generalisation,acc,post,0.0
gpt2-xl,anyedit,counterfact,1,specificity,success,post,1.0
gpt2-xl,anyedit,counterfact,1,specificity,diff,post,0.324923805546047
gpt2-xl,anyedit,counterfact,1,specificity,acc,post,0.0
gpt2-xl,anyedit,counterfact,1,target_close_neighbour,success,post,1.0
gpt2-xl,anyedit,counterfact,1,target_close_neighbour,diff,post,0.2666354121223591
gpt2-xl,anyedit,counterfact,1,target_close_neighbour,acc,post,0.5
gpt2-xl,anyedit,counterfact,2,efficacy,success,pre,1.0
gpt2-xl,anyedit,counterfact,2,efficacy,diff,pre,2.8234194909068148e-05
gpt2-xl,anyedit,counterfact,2,efficacy,acc,pre,0.0
gpt2-xl,anyedit,counterfact,2,generalisation,success,pre,0.5
