model,method,bench,case,category,measure,phase,value
gpt2-xl,alphaedit,ripple,ripple_popular_row657,efficacy,hit,pre,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row657,ripple_aliasing,hit,pre,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row657,ripple_relation_specificity,hit,pre,1.0
gpt2-xl,alphaedit,ripple,ripple_popular_row657,efficacy,hit,post,1.0
gpt2-xl,alphaedit,ripple,ripple_popular_row657,ripple_aliasing,hit,post,0.5
gpt2-xl,alphaedit,ripple,ripple_popular_row657,ripple_relation_specificity,hit,post,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row839,efficacy,hit,pre,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row839,ripple_aliasing,hit,pre,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row839,efficacy,hit,post,1.0
gpt2-xl,alphaedit,ripple,ripple_popular_row839,ripple_aliasing,hit,post,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row792,efficacy,hit,pre,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row792,ripple_aliasing,hit,pre,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row792,efficacy,hit,post,1.0
gpt2-xl,alphaedit,ripple,ripple_popular_row792,ripple_aliasing,hit,post,1.0
gpt2-xl,alphaedit,ripple,ripple_popular_row778,efficacy,hit,pre,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row778,ripple_logical,hit,pre,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row778,ripple_aliasing,hit,pre,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row778,ripple_relation_specificity,hit,pre,1.0
gpt2-xl,alphaedit,ripple,ripple_popular_row778,efficacy,hit,post,1.0
gpt2-xl,alphaedit,ripple,ripple_popular_row778,ripple_logical,hit,post,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row778,ripple_aliasing,hit,post,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row778,ripple_relation_specificity,hit,post,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row846,efficacy,hit,pre,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row846,ripple_aliasing,hit,pre,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row846,ripple_relation_specificity,hit,pre,1.0
gpt2-xl,alphaedit,ripple,ripple_popular_row846,efficacy,hit,post,1.0
gpt2-xl,alphaedit,ripple,ripple_popular_row846,ripple_aliasing,hit,post,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row846,ripple_relation_specificity,hit,post,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row735,efficacy,hit,pre,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row735,ripple_compositional_i,hit,pre,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row735,ripple_aliasing,hit,pre,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row735,efficacy,hit,post,1.0
gpt2-xl,alphaedit,ripple,ripple_popular_row735,ripple_compositional_i,hit,post,1.0
gpt2-xl,alphaedit,ripple,ripple_popular_row735,ripple_aliasing,hit,post,1.0
gpt2-xl,alphaedit,ripple,ripple_popular_row867,efficacy,hit,pre,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row867,ripple_logical,hit,pre,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row867,ripple_aliasing,hit,pre,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row867,efficacy,hit,post,1.0
gpt2-xl,alphaedit,ripple,ripple_popular_row867,ripple_logical,hit,post,0.0
gpt2-xl,alphaedit,ripple,ripple_popular_row867,ripple_aliasing,hit,post,0.0
