model,method,bench,case,efficacy_rate_pre,efficacy_rate_post,efficacy_magnitude_pre,efficacy_magnitude_post,efficacy_log_magnitude_pre,efficacy_log_magnitude_post,generalisation_rate_pre,generalisation_rate_post,generalisation_magnitude_pre,generalisation_magnitude_post,generalisation_log_magnitude_pre,generalisation_log_magnitude_post,specificity_rate_pre,specificity_rate_post,specificity_magnitude_pre,specificity_magnitude_post,specificity_log_magnitude_pre,specificity_log_magnitude_post
gpt2-xl,alphaedit,counterfact,11983,0.0,1.0,-0.035034467206226785,0.9563056073695876,-2.203125,18.455322265625,0.0,1.0,-0.028673716851927166,0.6816275533318232,-2.828125,18.47998046875,0.1,0.3,-0.05226381362812356,-0.03025912558772262,-2.9,-1.08203125
gpt2-xl,alphaedit,counterfact,13602,0.0,1.0,-0.34097088986750385,0.994441050731595,-5.1796875,10.80694580078125,0.0,1.0,-0.23452253641349685,0.4281149239158159,-3.125,5.35302734375,0.1,0.1,-0.06303524984020961,-0.0679291816199363,-2.7609375,-2.55234375
gpt2-xl,alphaedit,counterfact,15471,0.0,1.0,-0.38282174221897797,0.9881080336332567,-3.38671875,14.863037109375,0.0,1.0,-0.005167339495487418,0.07146879691044092,-3.234375,11.2265625,0.2,0.7,0.005386846049748541,0.048112470005535084,-2.15,2.30078125
gpt2-xl,alphaedit,counterfact,4190,0.0,1.0,-0.0001370159167991621,0.9386932184401363,-2.0,8.18701171875,0.0,1.0,-0.0022561344350142164,0.26910270422265586,-1.828125,5.994140625,0.2,0.2,-0.0001988198951367333,-0.00027389913202785146,-1.459375,-1.178125
gpt2-xl,alphaedit,counterfact,2414,0.0,1.0,-9.661210218331326e-07,0.9906446205307364,-0.375,20.1156005859375,0.0,1.0,-0.0001960743391723173,0.36686658304838604,-2.765625,16.935546875,0.7,0.9,0.00016030153640752626,0.00019849808645540666,1.546875,1.784375
gpt2-xl,alphaedit,counterfact,11701,0.0,1.0,-0.24289220444183754,0.9916730267852377,-6.8359375,17.74163818359375,0.0,1.0,-0.0022547688772528098,0.21167224584776037,-3.953125,5.3828125,0.1,0.2,0.001248769269764582,0.0050926167213411425,-0.9328125,-0.534375
gpt2-xl,alphaedit,counterfact,16141,0.0,1.0,-0.08465945329979688,0.9767847985811426,-7.90625,7.3209228515625,0.0,1.0,-0.10823578000680016,0.9366446342708838,-9.9140625,7.8706817626953125,0.0,0.0,-0.17927342793266993,-0.17537228220542783,-7.964599609375,-6.455126953125
gpt2-xl,alphaedit,counterfact,19724,1.0,1.0,0.08125005674636333,0.11818372153890203,1.875,2.3125,0.0,1.0,-0.01447320037622579,0.194065322593541,-0.5390625,2.06640625,0.5,0.5,-0.060210301249724575,-0.04658182932835718,-1.59296875,-0.95078125
gpt2-xl,alphaedit,counterfact,12635,0.0,1.0,-0.0011692259284704595,0.9307214056978074,-6.5625,10.92822265625,0.0,1.0,-0.0025347393640018086,0.5514735919407514,-4.703125,7.90625,0.0,0.0,-0.037995151133827273,-0.04008847184712676,-9.9109375,-9.9390625
gpt2-xl,alphaedit,counterfact,3748,0.0,1.0,-0.0032295911967189605,0.9884703022700311,-3.0625,21.7384033203125,0.0,1.0,-0.058174629155476,0.9418386481602452,-4.7578125,19.12664794921875,0.8,0.8,-0.003987646327243211,-0.0035982598463095245,0.3921875,0.90625
gpt2-xl,alphaedit,counterfact,17374,1.0,1.0,0.0038574376793497336,0.995986153097349,0.5,9.371063232421875,1.0,1.0,0.018096835996504523,0.9839133598475212,1.9765625,9.98382568359375,0.2,0.2,-0.07792036081405926,-0.10576725400267921,-2.4578125,-2.23125
gpt2-xl,alphaedit,counterfact,2723,1.0,1.0,0.00019920421077567778,0.9136266453648488,1.4375,13.59716796875,0.0,1.0,-9.91205832862665e-05,0.0022264045056187487,-2.84375,4.015625,0.3,0.3,-0.0004398497098436105,-6.36202514504529e-05,-1.30625,-1.034375
gpt2-xl,alphaedit,counterfact,2759,0.0,1.0,-0.390049588627212,0.9868426269847058,-9.49609375,16.48675537109375,0.0,1.0,-0.24545607283864718,0.95550034296084,-7.802734375,13.01654052734375,0.0,0.9,-0.29960799849144093,0.7896821344629824,-8.363671875,12.646710205078126
gpt2-xl,alphaedit,counterfact,21054,0.0,1.0,-0.0879652431126335,0.9800460392732956,-3.71875,11.1673583984375,0.0,1.0,-0.013377028632421148,0.010125835804864484,-1.3671875,5.609375,0.4,0.4,-0.12667673227624782,-0.13016469002162953,-1.407421875,-0.97890625
gpt2-xl,alphaedit,counterfact,12756,1.0,1.0,1.5565135787799256e-05,0.9922162845679228,2.6875,13.3046875,0.5,1.0,-0.0002832049227838198,0.44345708229365927,0.8125,5.30419921875,1.0,1.0,0.00014249314096201647,0.06618511914589673,2.6,3.39296875
gpt2-xl,alphaedit,counterfact,14633,0.0,1.0,-0.0007102683387857542,0.9902590753552861,-1.40625,10.677734375,0.0,1.0,-0.005660478866916139,0.016035038943698558,-1.515625,5.453125,0.2,0.7,-0.0018816165869375285,0.009612707228144352,-1.115625,0.4265625
gpt2-xl,alphaedit,counterfact,21068,1.0,1.0,0.00023960169685773578,0.9913704406601067,0.8125,17.8663330078125,0.5,1.0,2.8713448523576103e-05,0.9934901794045008,-0.53125,17.02471160888672,0.7,0.8,0.0001314712857294846,0.00025114343311341043,0.0625,0.20625
gpt2-xl,alphaedit,counterfact,3509,0.0,1.0,-0.009149976774170294,0.9961448450328602,-2.09375,13.058639526367188,0.0,1.0,-0.04185536440785224,0.9935364847270043,-2.84375,14.61850357055664,0.0,0.2,-0.01158929174575984,-0.005493662494121574,-2.9703125,-1.534375
gpt2-xl,alphaedit,counterfact,2106,0.0,1.0,-0.00032422102279129356,0.890185098168291,-0.3125,9.0712890625,0.0,1.0,-0.0013158625859850765,0.28616373904996445,-2.109375,6.21875,0.0,0.0,-0.0017799510139308785,-0.0019363501103702011,-1.85625,-1.6875
gpt2-xl,alphaedit,counterfact,17265,0.0,1.0,-0.0002402861448496554,0.8321943877468542,-1.4375,3.9912109375,0.5,1.0,-0.02304228544752965,0.23724919420265772,0.265625,5.1796875,0.4,0.4,0.0020806520615766133,0.00244603966769277,-0.33125,-0.1984375
gpt2-xl,alphaedit,genie,followed_by_6150,0.0,1.0,-0.45723947585937913,0.9835875945135208,-4.460782368977864,4.324922243754069,,,,,,,,,,,,
gpt2-xl,alphaedit,genie,director_229,0.0,1.0,-0.19073794409554068,0.9669263120396486,-1.7348554134368896,8.037857055664062,,,,,,,,,,,,
gpt2-xl,alphaedit,genie,headquarters_2162,0.0,1.0,-0.6781502081287826,0.9958617565899817,-4.485135555267334,7.527686834335327,,,,,,,,,,,,
gpt2-xl,alphaedit,genie,field_of_work_1687,0.0,1.0,-0.0023539678480889222,0.9457819794738855,-2.53125,9.4443359375,,,,,,,,,,,,
gpt2-xl,alphaedit,genie,director_3768,1.0,1.0,0.0011514089697078622,0.983214687734193,0.008264333009719849,6.671839088201523,,,,,,,,,,,,
gpt2-xl,alphaedit,genie,occupation_2544,0.0,1.0,-0.0004194308752338286,0.5419700040713603,-1.7890625,3.6767578125,,,,,,,,,,,,
gpt2-xl,alphaedit,genie,production_company_4721,1.0,1.0,0.002784585155472983,0.987260379439627,0.596354166666667,9.367472330729168,,,,,,,,,,,,
gpt2-xl,alphaedit,genie,continent_7135,0.0,1.0,-0.10992095474074155,0.9698169012851976,-4.33642578125,6.9234619140625,,,,,,,,,,,,
gpt2-xl,alphaedit,genie,spouse_2997,0.0,1.0,-0.0015909737782467774,0.8559375068647312,-0.947916666666667,5.921346028645833,,,,,,,,,,,,
gpt2-xl,alphaedit,genie,genre_3080,1.0,1.0,9.951427940199082e-05,0.8541933402368558,4.421875,12.2174072265625,,,,,,,,,,,,
gpt2-xl,alphaedit,genie,award_received_5077,0.0,1.0,-0.10032099260848232,0.46906218072129735,-2.089836351799242,2.4488645611387314,,,,,,,,,,,,
gpt2-xl,alphaedit,genie,country_3694,0.0,1.0,-0.20639900175995504,0.9141868998804591,-8.3597900390625,3.5911865234375,,,,,,,,,,,,
gpt2-xl,alphaedit,genie,followed_by_3324,0.0,1.0,-0.002079009505932542,0.671805390170856,-3.109375000000001,15.935546874999998,,,,,,,,,,,,
gpt2-xl,alphaedit,genie,field_of_work_100,0.0,1.0,-0.0011082960174881107,0.9137071221951578,-3.026041666666667,10.2535400390625,,,,,,,,,,,,
gpt2-xl,alphaedit,genie,composer_4902,0.0,1.0,-0.019747894754614914,0.8940243030028601,-0.4177144368489585,3.0753084818522134,,,,,,,,,,,,
gpt2-xl,alphaedit,genie,genre_4732,0.0,1.0,-0.002280972222612063,0.34010945476996235,-6.79296875,7.921875,,,,,,,,,,,,
gpt2-xl,alphaedit,genie,director_7311,1.0,1.0,0.011223163256969877,0.944100893592155,1.34375,9.598795572916666,,,,,,,,,,,,
gpt2-xl,alphaedit,genie,country_6584,0.0,1.0,-0.028302268643205588,0.8622123610235399,-1.21630859375,2.50775146484375,,,,,,,,,,,,
gpt2-xl,alphaedit,genie,genre_4642,1.0,1.0,0.002383053429436406,0.8896041757702597,1.05859375,3.4315185546875,,,,,,,,,,,,
gpt2-xl,alphaedit,genie,country_of_citizenship_2431,0.0,1.0,-0.11477508694119587,0.982709394493873,-1.5318603515625,4.779991149902344,,,,,,,,,,,,
gpt2-xl,alphaedit,mquake,2640,0.25,0.75,0.002348882615116932,0.26311900437757263,-0.6902031557900566,0.9783555320331027,,,,,,,,,,,,
gpt2-xl,alphaedit,mquake,248,0.0,1.0,-0.012547796258034741,0.7116266789045154,-2.3439670138888893,6.642873128255208,,,,,,,,,,,,
gpt2-xl,alphaedit,mquake,2121,1.0,1.0,0.04201966305657037,0.9890117489668637,0.30202884144253206,10.207737816704643,,,,,,,,,,,,
gpt2-xl,alphaedit,mquake,825,0.5,1.0,-0.11915682505011553,0.4527434774235407,0.839192708333333,14.199625651041666,,,,,,,,,,,,
gpt2-xl,alphaedit,mquake,2014,0.6666666666666666,1.0,0.15373366469231042,0.36887397331081817,5.091335478283111,10.548397972470239,,,,,,,,,,,,
gpt2-xl,alphaedit,mquake,713,0.0,0.5,-0.05887559853640765,0.4750289495412768,-2.7500839233398438,-5.480224609375,,,,,,,,,,,,
gpt2-xl,alphaedit,mquake,1872,0.0,1.0,-0.021947113649732695,0.638346249643431,-1.5802408854166665,4.797810872395833,,,,,,,,,,,,
gpt2-xl,alphaedit,mquake,562,0.5,1.0,0.017819576603022476,0.4395030864384011,0.7703685760498047,5.169638951619467,,,,,,,,,,,,
gpt2-xl,alphaedit,mquake,595,1.0,1.0,0.06417274970862626,0.41245569774792923,3.5552940368652344,4.2893829345703125,,,,,,,,,,,,
gpt2-xl,alphaedit,mquake,1554,0.0,1.0,-0.9139759227623918,0.9852441081245439,-7.42626953125,12.485137939453125,,,,,,,,,,,,
gpt2-xl,alphaedit,mquake,1291,0.5,1.0,0.014945420232000795,0.17856839282656714,0.6406898498535156,0.6933018820626397,,,,,,,,,,,,
gpt2-xl,alphaedit,mquake,1655,1.0,0.5,0.04009851785171226,0.488976580424292,1.886474609375,0.1160888671875,,,,,,,,,,,,
gpt2-xl,alphaedit,mquake,681,0.0,1.0,-0.039557859201668225,0.9522958779479255,-0.3116682767868042,3.456197534288679,,,,,,,,,,,,
gpt2-xl,alphaedit,mquake,1162,1.0,1.0,0.003914717420914749,0.994173215952119,1.19873046875,11.822288513183594,,,,,,,,,,,,
