model,method,bench,case,category,measure,phase,value
llama3-8b,anyedit,counterfact,0,efficacy,success,pre,0.0
llama3-8b,anyedit,counterfact,0,efficacy,diff,pre,-0.554447759264991
llama3-8b,anyedit,counterfact,0,efficacy,acc,pre,0.0
llama3-8b,anyedit,counterfact,0,generalisation,success,pre,0.0
llama3-8b,anyedit,counterfact,0,generalisation,diff,pre,-0.017276258042719
llama3-8b,anyedit,counterfact,0,generalisation,acc,pre,0.0
llama3-8b,anyedit,counterfact,0,specificity,success,pre,0.0
llama3-8b,anyedit,counterfact,0,specificity,diff,pre,-0.3691831430535373
llama3-8b,anyedit,counterfact,0,specificity,acc,pre,0.5
llama3-8b,anyedit,counterfact,0,target_close_neighbour,success,pre,1.0
llama3-8b,anyedit,counterfact,0,target_close_neighbour,diff,pre,0.13501298562453548
llama3-8b,anyedit,counterfact,0,target_close_neighbour,acc,pre,0.4
llama3-8b,anyedit,counterfact,0,efficacy,success,post,1.0
llama3-8b,anyedit,counterfact,0,efficacy,diff,post,0.35938095510377593
llama3-8b,anyedit,counterfact,0,efficacy,acc,post,1.0
llama3-8b,anyedit,counterfact,0,generalisation,success,post,0.0
llama3-8b,anyedit,counterfact,0,generalisation,diff,post,-0.027335870233928354
llama3-8b,anyedit,counterfact,0,generalisation,acc,post,0.0
llama3-8b,anyedit,counterfact,0,specificity,success,post,0.3
llama3-8b,anyedit,counterfact,0,specificity,diff,post,-0.05189575911361649
llama3-8b,anyedit,counterfact,0,specificity,acc,post,0.4
llama3-8b,anyedit,counterfact,0,target_close_neighbour,success,post,1.0
llama3-8b,anyedit,counterfact,0,target_close_neighbour,diff,post,0.2375564067300789
llama3-8b,anyedit,counterfact,0,target_close_neighbour,acc,post,0.4
llama3-8b,anyedit,counterfact,1,efficacy,success,pre,0.0
llama3-8b,anyedit,counterfact,1,efficacy,diff,pre,-0.15195808065583227
llama3-8b,anyedit,counterfact,1,efficacy,acc,pre,0.0
llama3-8b,anyedit,counterfact,1,generalisation,success,pre,0.0
llama3-8b,anyedit,counterfact,1,generalisation,diff,pre,-0.03057342970014454
llama3-8b,anyedit,counterfact,1,generalisation,acc,pre,0.0
llama3-8b,anyedit,counterfact,1,specificity,success,pre,0.4
llama3-8b,anyedit,counterfact,1,specificity,diff,pre,-0.007853033098426339
llama3-8b,anyedit,counterfact,1,specificity,acc,pre,0.0
llama3-8b,anyedit,counterfact,1,target_close_neighbour,success,pre,1.0
llama3-8b,anyedit,counterfact,1,target_close_neighbour,diff,pre,0.12185462705339314
llama3-8b,anyedit,counterfact,1,target_close_neighbour,acc,pre,0.2
llama3-8b,anyedit,counterfact,1,efficacy,success,post,0.0
llama3-8b,anyedit,counterfact,1,efficacy,diff,post,-3.3245381022016366e-07
llama3-8b,anyedit,counterfact,1,efficacy,acc,post,0.0
llama3-8b,anyedit,counterfact,1,generalisation,success,post,0.0
llama3-8b,anyedit,counterfact,1,generalisation,diff,post,-0.019988038901486364
llama3-8b,anyedit,counterfact,1,generalisation,acc,post,0.0
llama3-8b,anyedit,counterfact,1,specificity,success,post,0.4
llama3-8b,anyedit,counterfact,1,specificity,diff,post,-0.0011139525136187188
llama3-8b,anyedit,counterfact,1,specificity,acc,post,0.0
llama3-8b,anyedit,counterfact,1,target_close_neighbour,success,post,1.0
llama3-8b,anyedit,counterfact,1,target_close_neighbour,diff,post,0.0345467481443476
llama3-8b,anyedit,counterfact,1,target_close_neighbour,acc,post,0.0
llama3-8b,anyedit,counterfact,2,efficacy,success,pre,1.0
llama3-8b,anyedit,counterfact,2,efficacy,diff,pre,2.1259822173694097e-05
llama3-8b,anyedit,counterfact,2,efficacy,acc,pre,0.0
llama3-8b,anyedit,counterfact,2,generalisation,success,pre,1.0
llama3-8b,anyedit,counterfact,2,generalisation,diff,pre,0.041588110685158136
llama3-8b,anyedit,counterfact,2,generalisation,acc,pre,0.5
llama3-8b,anyedit,counterfact,2,specificity,success,pre,0.6
llama3-8b,anyedit,counterfact,2,specificity,diff,pre,-0.016179983789135374
llama3-8b,anyedit,counterfact,2,specificity,acc,pre,0.2
llama3-8b,anyedit,counterfact,2,target_close_neighbour,success,pre,1.0
llama3-8b,anyedit,counterfact,2,target_close_neighbour,diff,pre,0.11117857836485087
llama3-8b,anyedit,counterfact,2,target_close_neighbour,acc,pre,0.6
llama3-8b,anyedit,counterfact,2,efficacy,success,post,1.0
llama3-8b,anyedit,counterfact,2,efficacy,diff,post,0.001858053008810152
llama3-8b,anyedit,counterfact,2,efficacy,acc,post,0.0
llama3-8b,anyedit,counterfact,2,generalisation,success,post,1.0
llama3-8b,anyedit,counterfact,2,generalisation,diff,post,0.04280799432211272
llama3-8b,anyedit,counterfact,2,generalisation,acc,post,0.5
llama3-8b,anyedit,counterfact,2,specificity,success,post,0.6
llama3-8b,anyedit,counterfact,2,specificity,diff,post,-0.014650095057780135
llama3-8b,anyedit,counterfact,2,specificity,acc,post,0.2
llama3-8b,anyedit,counterfact,2,target_close_neighbour,success,post,1.0
llama3-8b,anyedit,counterfact,2,target_close_neighbour,diff,post,0.11702254093162812
llama3-8b,anyedit,counterfact,2,target_close_neighbour,acc,post,0.6
